  2024-08-20 → 2024-08-25 : 4,659 bougies, 681,983 ticks
  2024-08-25 → 2024-08-30 : 11,020 bougies, 1,521,344 ticks
  2024-08-30 → 2024-09-04 : 15,001 bougies, 2,027,141 ticks
  2024-09-04 → 2024-09-09 : 19,131 bougies, 2,604,352 ticks
  2024-09-09 → 2024-09-14 : 25,168 bougies, 3,469,626 ticks
  2024-09-14 → 2024-09-19 : 30,151 bougies, 4,171,829 ticks
  2024-09-19 → 2024-09-24 : 34,281 bougies, 4,786,063 ticks
  2024-09-24 → 2024-09-29 : 38,940 bougies, 5,564,251 ticks
  2024-09-29 → 2024-10-04 : 45,301 bougies, 6,401,589 ticks
  2024-10-04 → 2024-10-09 : 49,431 bougies, 6,820,681 ticks
  2024-10-09 → 2024-10-14 : 53,561 bougies, 7,201,207 ticks
  2024-10-14 → 2024-10-19 : 59,598 bougies, 7,772,197 ticks
  2024-10-19 → 2024-10-24 : 64,581 bougies, 8,257,834 ticks
  2024-10-24 → 2024-10-29 : 68,711 bougies, 8,627,957 ticks
  2024-10-29 → 2024-11-03 : 73,370 bougies, 9,087,719 ticks
  2024-11-03 → 2024-11-08 : 79,731 bougies, 9,774,673 ticks
  2024-11-08 → 2024-11-13 : 83,861 bougies, 10,182,000 ticks
  2024-11-13 → 2024-11-18 : 87,991 bougies, 10,625,572 ticks
  2024-11-18 → 2024-11-23 : 94,028 bougies, 11,226,233 ticks
  2024-11-23 → 2024-11-28 : 99,011 bougies, 11,714,881 ticks
  2024-11-28 → 2024-12-03 : 102,864 bougies, 12,080,305 ticks
  2024-12-03 → 2024-12-08 : 107,523 bougies, 12,521,453 ticks
  2024-12-08 → 2024-12-13 : 113,884 bougies, 13,217,064 ticks
  2024-12-13 → 2024-12-18 : 118,014 bougies, 13,611,512 ticks
  2024-12-18 → 2024-12-23 : 122,144 bougies, 14,057,201 ticks
  2024-12-23 → 2024-12-28 : 126,610 bougies, 14,430,962 ticks
  2024-12-28 → 2025-01-02 : 130,091 bougies, 14,738,520 ticks
  2025-01-02 → 2025-01-07 : 134,221 bougies, 15,151,948 ticks
  2025-01-07 → 2025-01-12 : 138,880 bougies, 15,643,803 ticks
  2025-01-12 → 2025-01-17 : 145,241 bougies, 16,341,297 ticks
  2025-01-17 → 2025-01-22 : 149,223 bougies, 17,054,128 ticks
  2025-01-22 → 2025-01-27 : 153,353 bougies, 17,792,958 ticks
  2025-01-27 → 2025-02-01 : 159,390 bougies, 18,884,630 ticks
  2025-02-01 → 2025-02-06 : 164,373 bougies, 19,892,407 ticks
  2025-02-06 → 2025-02-11 : 168,504 bougies, 20,681,974 ticks
